Return to Table of Contents,,,,,
,,,,,
Table 18.,,,,,
"INDIVIDUALS GRANTED ASYLUM AFFIRMATIVELY BY RELATIONSHIP TO PRINCIPAL APPLICANT AND SEX, AGE, AND MARITAL STATUS: FISCAL YEAR 2022",,,,,
,,,,,
Characteristic,Total,Principal applicants,Dependents,,
,,,Spouse,Children,
SEX,,,,,
Total,"14,134","8,901","2,211","3,022",
Female,"6,804","4,030","1,303","1,471",
Male,"7,323","4,864",908,"1,551",
Unknown,7,7,0,0,
AGE,,,,,
Total,"14,134","8,901","2,211","3,022",
Under 1 year,8,0,0,8,
1 to 4 years,234,3,0,231,
5 to 9 years,792,18,0,774,
10 to 14 years,975,84,0,891,
15 to 19 years,"1,230",490,6,734,
20 to 24 years,"1,340",947,53,340,
25 to 29 years,"1,640","1,388",208,44,
30 to 34 years,"1,861","1,477",384,0,
35 to 39 years,"1,855","1,406",449,0,
40 to 44 years,"1,570","1,137",433,0,
45 to 49 years,"1,121",805,316,0,
50 to 54 years,662,500,162,0,
55 to 59 years,401,296,105,0,
60 to 64 years,207,160,47,0,
65 to 74 years,187,148,39,0,
75 years and over,51,42,9,0,
BROAD AGE GROUP,,,,,
Total,"14,134","8,901","2,211","3,022",
Under 16 years,"2,204",141,0,"2,063",
16 to 20 years,"1,327",614,12,701,
21 years and over,"10,603","8,146","2,199",258,
MARITAL STATUS,,,,,
Total,"14,134","8,901","2,211","3,022",
Married,"6,157","3,946","2,211",0,
Single,"7,211","4,189",0,"3,022",
Widowed,146,146,0,0,
Divorced/separated,597,597,0,0,
Unknown,23,23,0,0,
Note: Data not available for individuals granted asylum defensively.,,,,,
Source: Office of Homeland Security Statistics.,,,,,
