Return to Table of Contents,,,,,,,,,,
,,,,,,,,,,
Table 19.,,,,,,,,,,
INDIVIDUALS GRANTED ASYLUM DEFENSIVELY BY REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2013 TO 2022,,,,,,,,,,
,,,,,,,,,,
Region and country of nationality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
REGION,,,,,,,,,,
Total,"9,745","8,614","8,139","8,695","10,565","13,198","18,912","14,604","7,416","22,481"
Africa,"1,907","1,637","1,372","1,308","1,535","1,600","2,315","1,560",787,"2,019"
Asia,"6,091","5,385","4,768","4,218","4,251","5,655","7,686","4,671","2,262","8,313"
Europe,572,456,356,357,393,596,791,544,369,"1,526"
North America,644,711,"1,277","2,542","4,004","4,870","7,138","6,575","3,331","7,716"
Oceania,5,D,D,0,D,D,6,4,0,0
South America,207,202,155,114,219,337,773,"1,103",616,"2,714"
Unknown,319,D,D,156,D,D,203,147,51,193
COUNTRY,,,,,,,,,,
Total,"9,745","8,614","8,139","8,695","10,565","13,198","18,912","14,604","7,416","22,481"
Afghanistan,17,15,14,23,28,28,31,20,11,55
Albania,62,67,75,94,118,180,122,79,28,204
Angola,D,D,D,6,11,19,29,22,24,57
Armenia,43,40,21,18,36,58,106,61,38,212
Azerbaijan,6,10,11,D,14,21,21,13,22,39
Bangladesh,67,51,92,91,120,287,367,290,109,617
Belarus,72,58,34,25,25,38,37,24,36,129
Benin,10,4,10,D,D,0,D,D,0,D
Bolivia,4,D,D,0,D,D,11,D,D,6
Brazil,14,5,D,5,10,21,38,51,30,233
Bulgaria,5,10,D,6,D,4,10,0,4,D
Burkina Faso,58,62,51,71,78,63,81,58,20,102
Burma,34,28,20,16,10,15,26,12,21,73
Burundi,13,31,18,28,20,22,47,16,7,27
Cameroon,136,108,92,114,219,312,659,591,144,303
Central African Republic,7,D,D,D,7,11,D,D,D,D
Chad,4,7,D,4,10,7,17,5,D,11
Chile,D,D,D,0,D,D,D,D,D,26
"China, People's Republic","4,521","3,970","3,584","3,078","2,731","3,049","3,459","1,950",782,"3,051"
Colombia,69,66,51,24,38,40,46,37,47,158
"Congo, Democratic Republic",26,25,22,8,32,50,56,42,26,86
"Congo, Republic",42,21,16,33,24,40,30,18,13,39
Cote d'Ivoire,57,47,36,17,19,23,30,20,7,24
Cuba,6,10,11,7,62,161,711,"1,227",95,154
Djibouti,9,D,12,D,11,6,10,6,D,14
